FID,START_X,START_Y,END_X,END_Y
0.000000000000000000e+00,1.349930412064251186e+02,1.132726110878106596e+02,2.012835367753144169e+02,1.671396973077706207e+03
1.000000000000000000e+00,-2.813565366450578722e+02,4.201924669392142278e+02,-8.288096392005893165e+01,1.508105768130841170e+03
2.000000000000000000e+00,-1.432279125745033070e+02,1.177323170395698298e+03,1.728213267437392062e+02,1.002407907815343151e+03
3.000000000000000000e+00,-4.903817735055509729e+02,7.918524260364310976e+02,-1.315356726112476338e+02,1.304948568446758827e+03
4.000000000000000000e+00,-5.052154052081997548e+01,1.267694698986430240e+03,1.815281187094890925e+02,1.021106324238001889e+03
6.000000000000000000e+00,-1.610075957879863324e+02,1.079866605381253748e+03,1.716229374234465013e+02,9.742404692280842937e+02
7.000000000000000000e+00,-1.698248897311341352e+02,1.031535927404037011e+03,1.701858514209274063e+02,9.404613049656077237e+02
8.000000000000000000e+00,-4.125342775051345257e+02,9.030508400153850062e+02,-2.038771820496724558e+02,8.448837130708627683e+02
9.000000000000000000e+00,-3.947988508605001812e+02,9.284168780765181737e+02,-1.965799217784687301e+02,8.848824217139704160e+02
1.000000000000000000e+01,-3.707274159083190739e+02,9.628450635043201373e+02,-1.921250178251686691e+02,9.093014449580558676e+02
1.100000000000000000e+01,-3.489505197483114216e+02,9.939913230254242080e+02,-1.837490551394885756e+02,9.552130958426371308e+02
1.200000000000000000e+01,-3.306100047849956240e+02,1.020222772067564165e+03,-1.775172366027987323e+02,9.893717350394167624e+02
1.300000000000000000e+01,-1.782579796085030353e+02,1.151703647619660387e+03,-1.244006099342308573e+02,1.128680897123275372e+03
1.400000000000000000e+01,-1.888348311596986377e+02,1.148872912216407030e+03,1.722950950645179091e+02,9.900388406047657099e+02
1.500000000000000000e+01,-2.727969860945848382e+02,1.102909739724262408e+03,-1.625305966274873413e+02,1.071518570059522062e+03
1.600000000000000000e+01,-3.968123583858711072e+02,7.305333752954984448e+02,-3.008839409270297551e+02,7.750869236789571914e+02
1.700000000000000000e+01,-4.112494421154449356e+02,7.558047830219246634e+02,-3.102264908672994466e+02,8.078308785236516769e+02
1.800000000000000000e+01,-3.992184587893448224e+02,8.378264823877455001e+02,-2.166912679090463030e+02,7.746450525033477561e+02
1.900000000000000000e+01,-4.160188759629824062e+02,8.679281301581207799e+02,-2.107312744113919791e+02,8.073136661848358244e+02
2.000000000000000000e+01,-3.349858234662038399e+02,7.950799313620041175e+02,-2.302735056659336976e+02,7.001965075733166941e+02
2.100000000000000000e+01,-5.582801663974216666e+01,3.132475469080978883e+02,2.318961000963127628e+00,5.485491124873286708e+02
2.200000000000000000e+01,-8.272895066566229616e+01,7.034157879349726272e+02,-6.173995028958985642e+01,8.574565494604993319e+02
2.300000000000000000e+01,-7.417455741833205707e+01,7.661977301822847721e+02,1.590388729096796112e+02,6.784570028975887226e+02
2.400000000000000000e+01,-7.873403046017200779e+01,7.327348247239219745e+02,1.578643516674029286e+02,6.508512054901339070e+02
2.500000000000000000e+01,1.163782149809324196e+01,5.477338178361404744e+02,1.068944086948318528e+02,5.041868065516660522e+02
2.600000000000000000e+01,2.182253558875641772e+02,5.155744662475407267e+02,1.556137815533463709e+02,5.979529187810002213e+02
2.700000000000000000e+01,2.402312851105258176e+02,8.690677146844342360e+02,1.720288154839784909e+02,9.837792022010727351e+02
2.800000000000000000e+01,-7.099863028386350550e+01,7.895063603442691829e+02,2.459853489549103145e+01,7.495406286213144540e+02
2.900000000000000000e+01,-1.946937371027442509e+02,8.952211379715938619e+02,-1.243741887977831766e+02,8.763267177328859816e+02
