FID,START_X,START_Y,END_X,END_Y
0,0.1146788736,0.4862385368,0.3845565736,0.542813483
1,0.4587155974,0.2859327363,0.7660550448,0.3532110343
2,0.1162079369,0.8883792011,0.3761467861,0.9250764464
3,0.6131498376,0.7018348789,0.8853211022,0.747706443
4,0.6100917413,0,0.8914372947,0.0581040094
5,0,0.2492354911,0.2721712404,0.3318043004
6,0.634556572,0.9373088614,0.8532109853,1
7,0.8577981449,0.4984709519,1,0.522935782
8,0.3440366996,0.4602446737,0.4281345438,0.4816513774
9,0.2186544194,0.1834862563,0.285932719,0.2064220535
10,0.7217125429,0.5825688244,0.8241590253,0.6070336546
11,0.8318042812,0.1238532442,0.9067278064,0.1529052338
12,0.3501528921,0.0428134679,0.4770642053,0.0749235839
13,0.3990825536,0.8730886899,0.5091742918,0.9143730945
14,0.8058103872,0.9128440313,0.8837920389,0.9388379247
15,0.5642201761,0.4006116313,0.6590214028,0.4311926842
16,0.8532109853,0.2721712883,1,0.3119265994
17,0.0565749233,0.6972477195,0.1391437346,0.7155963269
18,0.0626911159,0.3853211201,0.1422018309,0.4159021426
19,0.920489285,0.8042813589,1,0.8180428069
20,0.5321100896,0.5902140801,0.6146789009,0.6085627178
21,0,0.9480122435,0.0825687871,0.9633027548
22,0.1131498406,0,0.2385320905,0.0412844349
23,0,0.7752293693,0.2828745925,0.828746189
24,0.7262996721,0.8195718702,1,0.8746177531
25,0.2048929407,0.6666666667,0.6039755185,0.8042813589
26,0.1686789837,0.8957868689,0.2660550478,0.7293578052
27,0.1753203944,0.8083980956,0.3280561598,0.5309692068
28,0.3990825536,0.6498470922,0.5137614514,0.6896024638
29,0.1850152695,0.5412844198,0.3226299651,0.3685015456
30,0.2946572922,0.4036227731,0.6238531897,0.477064218
31,0.4449541187,0.5871559839,0.5341850782,0.4570598519
32,0.3776758191,0.7844036882,0.4862385244,0.625382262
33,0.4662770556,0.8982866275,0.5703363687,0.7584097948
34,0.5474006012,1,0.6987767451,0.7721712731
35,0.60586278,0.3181440573,0.7493458477,0.0287590009
36,0.606081023,0.4141151476,0.6540068091,0.3286830533
37,0.4657040051,0.4417821767,0.5572105466,0.3074938357
38,0.6395002345,0.5415159529,0.7460003331,0.3488209566
39,0.6292228029,0.2710301823,1,0.3608562899
40,0.5244648338,0.1024465103,0.6827361121,0.1631014408
41,0.3318042842,0.2844037033,0.4342507667,0.1620795224
42,0.1483180234,0.761467891,0.6276722453,0.8791871116
43,0.1330275118,0.0963302876,0.5389177331,0.2503497443
44,0,0.3593272267,0.0567783625,0.2664603999
45,0,0.5244648453,0.233944931,0.5856269206
46,0,0.5917431433,0.1437308639,0.6299694215
47,0.0614969401,0.608098713,0.0909186932,0.5482344403
48,0.7247706391,0.6834862412,1,0.7171253902
49,0.7947307937,0.7324384251,0.8547400486,0.6299694215
50,0.7706021522,0.8284818695,0.8400245251,0.7400721767
51,0.1079087997,0.2819718788,0.3073394535,0
52,0.5785059344,0.6005242676,0.5657492394,0.6314984847
53,0.2140672598,1,0.2842916128,0.9121086532
54,0.2691131441,1,0.3941971377,0.8218505704
55,0.4174311917,0.3577981937,0.5105161124,0.3760191976
56,0.1469058771,0.2268345088,0,0.189602479
57,0.1330275118,0.3455657787,0.2698168862,0.4348112976
58,0.7538226294,0.1850153195,1,0.2538226505
59,0.9012293483,0.2851762575,0.9251231568,0.2328943316
60,0.9571865311,0.659021411,1,0.5657492499
61,0.9068244702,0.5937027589,1,0.6345565809
62,0.6378020019,0.1458811639,0.683032098,0.0150637916
63,0.9311926371,0.4159021426,0.9532148961,0.3495219134
64,0.9411969395,0.5128191342,0.8846630128,0.6458520254
65,0.7787051159,0.502052026,0.846550593,0.3858226945
