#FID, PT_X, PT_Y
147,-54478.275,6732804.991
147,-54478.2671,6732804.944
147,-54478.2534,6732804.878
148,-54478.2521,6732804.991
148,-54478.2463,6732804.915
149,-54478.1905,6732804.973
149,-54478.2585,6732804.903
150,-54478.2373,6732804.884
150,-54478.2427,6732804.919
152,-54478.3,6732804.961
152,-54478.283,6732804.902
153,-54478.3161,6732804.96
153,-54478.3107,6732804.937
153,-54478.3027,6732804.902
154,-54478.25,6732804.963
154,-54478.3211,6732804.96
155,-54478.2685,6732804.952
155,-54478.2177,6732804.945
157,-54478.3145,6732804.908
157,-54478.3016,6732804.878
159,-54478.2602,6732804.911
159,-54478.2469,6732804.924
159,-54478.2217,6732804.945
