FID,START_X,START_Y,END_X,END_Y
0,2903.7200326,-93.4129706775,2923.65749809,-93.1467842278
1,2903.7200326,-93.4129706775,2845.88627605,-94.1851130737
2,2845.88627605,-94.1851130737,2841.68377279,-94.2412209795
3,2841.68377279,-94.2412209795,2823.3628477,-94.4858248896
4,2823.3628477,-94.4858248896,2745.97513668,-95.5190334544
5,2745.97513668,-95.5190334544,2709.46765657,-96.0064472921
6,2375.93604331,-467.56445166,2496.75064386,-474.314431953
7,2375.93604331,-467.56445166,2350.38277104,-466.136775836
8,2612.77525263,-480.796792689,2496.75064386,-474.314431953
9,2051.0677651,75.2773708789,2111.88549774,52.5620700217
10,3426.55099643,193.936759062,3501.96281255,170.321146466
11,3426.55099643,193.936759062,3402.36869506,201.509575765
12,3402.36869506,201.509575765,3400.65749647,202.045446733
13,3400.65749647,202.045446733,3366.84917304,212.632703606
14,3366.84917304,212.632703606,3330.80411711,223.920405197
15,3330.80411711,223.920405197,3329.52889961,224.319746362
16,3329.52889961,224.319746362,3314.1359153,229.140141529
17,3314.1359153,229.140141529,3299.98539948,233.571451062
18,3299.98539948,233.571451062,3285.10312428,238.231914949
19,3523.16746964,-89.9543205641,3424.90655117,-107.752930522
20,3424.90655117,-107.752930522,3313.66861337,-127.902148528
21,3313.66861337,-127.902148528,3221.39823951,-144.615653967
22,3221.39823951,-144.615653967,3155.67135541,-156.521172375
23,3051.04906047,-749.861363276,3106.81287532,-737.331250695
24,3106.81287532,-737.331250695,3119.95842099,-734.377450498
25,2474.42902815,-639.691028169,2365.77482973,-665.476529253
26,2545.63584385,151.268918458,2563.6595704,150.96397751
27,2680.41198096,148.988659556,2658.78631757,149.354541177
28,2658.78631757,149.354541177,2642.67334839,149.627154283
29,2642.67334839,149.627154283,2563.6595704,150.96397751
30,3293.92775817,29.7820961604,3316.82363693,36.1170859011
31,3316.82363693,36.1170859011,3420.52710501,64.8104771139
32,3420.52710501,64.8104771139,3489.7293401,83.9578290861
33,3293.92775817,29.7820961604,3290.82378499,28.92326744
34,3290.82378499,28.92326744,3211.54984307,6.98920611583
35,3211.54984307,6.98920611583,3207.81933818,5.95702427742
36,3207.81933818,5.95702427742,3188.8992919,0.722095303742
37,3188.8992919,0.722095303742,3173.26824237,-3.60281134965
38,3173.26824237,-3.60281134965,2962.02604849,-62.0507593483
39,2962.02604849,-62.0507593483,2886.52710851,-82.9403270829
40,2886.52710851,-82.9403270829,2845.88627605,-94.1851130737
41,2845.88627605,-94.1851130737,2841.15433117,-95.494380238
42,2841.15433117,-95.494380238,2811.00259645,-103.83697028
43,2811.00259645,-103.83697028,2737.68052612,-124.124226698
44,2737.68052612,-124.124226698,2736.41342507,-124.47481696
45,2040.47362401,-336.039538866,2114.3381056,-333.784393956
46,2040.47362401,-336.039538866,1962.6318214,-338.416114741
47,3502.86889549,-644.853178954,3563.75795036,-644.39069421
48,3277.63456929,3.66853114628,3269.83828161,3.40965708621
49,3269.83828161,3.40965708621,3216.82971088,1.64951887218
50,3216.82971088,1.64951887218,3205.58960288,1.27629349808
51,3205.58960288,1.27629349808,3188.8992919,0.722095303742
52,3188.8992919,0.722095303742,3142.44262848,-0.820488235101
53,3142.44262848,-0.820488235101,3033.0964704,-4.45130394817
54,3033.0964704,-4.45130394817,2995.5815273,-5.69697958162
55,2995.5815273,-5.69697958162,2970.97427908,-6.51405797844
56,2970.97427908,-6.51405797844,2938.20481304,-7.60216106549
57,2788.8900699,-191.211970236,2712.89398892,-209.604272013
58,2712.89398892,-209.604272013,2675.29465114,-218.703930287
59,2675.29465114,-218.703930287,2665.0547518,-221.182154379
60,2665.0547518,-221.182154379,2630.91948,-229.443451699
61,2630.91948,-229.443451699,2564.32523574,-245.560354323
62,2564.32523574,-245.560354323,2538.44221884,-251.824470203
63,2538.44221884,-251.824470203,2528.53080437,-254.223195555
64,2528.53080437,-254.223195555,2397.61898065,-285.906010471
65,2397.61898065,-285.906010471,2182.05989121,-338.074856184
66,2182.05989121,-338.074856184,2095.77723108,-358.956679337
67,2095.77723108,-358.956679337,1925.75504469,-400.104845405
68,1925.75504469,-400.104845405,1878.41156465,-411.562746403
69,1878.41156465,-411.562746403,1863.75795036,-415.109162122
70,2234.05967815,-761.599090369,2557.33295465,-760.006033618
71,2234.05967815,-761.599090369,2154.15781394,-761.992838364
72,2154.15781394,-761.992838364,2090.07851147,-762.308614436
